id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,FzySkw,https://hackstack.io/ivory/uplink/1,Ops review uplink,True,2025-01-01 04:56:22,2025-10-04 17:34:01
2,217,sR2EFO,https://hackstack.io/amber/meadow/2,Ops review journey,False,2026-01-08 15:07:03,2026-02-06 05:59:52
3,287,1L7oJT,https://hackstack.io/dawn/window/3,Ops review beacon,False,2025-10-22 14:58:58,2025-12-31 12:13:44
4,357,ZecICd,https://example.com/harbor/garden/4,Incident notes kernel,True,2025-12-09 14:21:57,2025-12-13 19:51:43
5,155,ulwBUV,https://example.com/calm/valley/5,Incident notes delta,False,2025-03-18 23:24:01,2025-08-13 13:37:30
6,371,fifTgT,https://acme.dev/keen/engine/6,Campaign page quartz,True,2025-08-04 22:50:10,2025-11-22 00:47:37
7,352,saFyKt,https://example.com/warm/river/7,Alert feed window,False,2025-04-08 21:12:07,2025-10-10 04:03:19
8,178,qexd9e,https://acme.dev/ember/anchor/8,Campaign page signal,True,2025-07-02 22:41:35,2026-01-23 00:00:23
9,214,WMcsvZ,https://seeded.app/warm/uplink/9,Service guide zenith,False,2025-10-17 20:37:23,2025-12-04 14:10:35
10,253,MKu6nH,https://relay.cloud/harbor/journey/10,Demo link harvest,True,2025-03-09 22:33:37,2025-11-19 14:45:39
11,155,rqWMKj,https://relay.cloud/cobalt/valley/11,Service guide trail,True,2025-09-13 22:53:04,2025-12-07 04:08:12
12,239,NKo9ee,https://seeded.app/ember/river/12,Incident notes garden,True,2025-01-16 19:31:54,2025-02-06 18:48:30
13,70,04PeSP,https://relay.cloud/brisk/garden/13,Campaign page delta,True,2025-07-24 21:47:22,2025-10-02 08:19:23
14,138,ZwPvqC,https://opswise.net/cobalt/trail/14,Roadmap update network,True,2025-01-08 07:01:58,2025-06-26 18:27:25
15,378,K0H9d2,https://example.com/urban/island/15,Quarterly brief lagoon,False,2026-01-31 08:08:22,2026-02-19 18:51:28
16,148,rDUZ7K,https://relay.cloud/forest/pioneer/16,Launch deck canyon,True,2025-11-28 02:21:10,2026-02-08 00:56:23
17,66,RAXWtJ,https://seeded.app/keen/trail/17,Demo link river,True,2025-04-02 10:21:06,2025-06-12 18:55:26
18,245,mFZJzN,https://relay.cloud/dawn/anchor/18,Alert feed quartz,True,2025-11-10 06:28:32,2025-12-18 21:58:00
19,328,GSnnud,https://opswise.net/navy/harvest/19,Roadmap update journey,False,2026-02-04 22:53:40,2026-02-16 06:21:59
20,24,oGHVFC,https://seeded.app/rapid/river/20,Launch deck pioneer,True,2025-06-29 04:17:41,2026-02-07 11:22:32
21,84,Sizevt,https://relay.cloud/dawn/orbit/21,Quarterly brief yard,True,2025-09-10 02:31:08,2025-12-25 19:33:33
